creat ph0.
0 0
creat ph1.
1 1
creat ph2.
2 2
creat ph3.
3 3
creat ph4.
4 4
time	:ph0	ph1	ph2	ph3	ph4
821	:think	think	think	think	think	
822	:think	think	think	think	think	
823	:think	think	think	think	think	
824	:think	think	think	think	think	
825	:think	think	think	think	think	
826	:think	think	think	think	think	
827	:think	think	think	think	think	
828	:think	think	think	think	think	
829	:think	think	think	think	think	
830	:think	think	think	think	think	
831	:think	think	think	think	think	
832	:think	think	think	think	think	
833	:think	think	think	think	think	
834	:think	think	think	think	think	
835	:think	think	think	think	think	
836	:think	think	think	think	think	
837	:think	think	think	think	think	
838	:think	think	think	think	think	
839	:think	think	think	think	think	
840	:think	think	think	think	think	
841	:think	think	think	think	think	
842	:think	think	think	think	think	
843	:think	think	think	think	think	
844	:think	think	think	think	think	
845	:think	think	think	think	think	
846	:think	think	think	think	think	
847	:think	think	think	think	think	
848	:think	think	think	think	think	
849	:think	think	think	think	think	
850	:think	think	think	think	think	
851	:think	think	think	think	think	
852	:think	think	think	think	think	
853	:think	think	think	think	think	
854	:think	think	think	think	think	
855	:think	think	think	think	think	
856	:think	think	think	think	think	
857	:think	think	think	think	think	
858	:think	think	think	think	think	
859	:think	think	think	think	think	
860	:think	think	think	think	think	
861	:think	think	think	think	think	
862	:think	think	think	think	think	
863	:think	think	think	think	think	
864	:think	think	think	think	think	
865	:think	think	think	think	think	
866	:think	think	think	think	think	
867	:think	think	think	think	think	
868	:think	think	think	think	think	
869	:think	think	think	think	think	
870	:think	think	think	think	think	
871	:think	think	think	think	think	
872	:think	think	think	think	think	
873	:think	think	think	think	think	
874	:think	think	think	think	think	
875	:think	think	think	think	think	
876	:think	think	think	think	think	
877	:think	think	think	think	think	
878	:think	think	think	think	think	
879	:think	think	think	think	think	
880	:think	think	think	think	think	
881	:think	think	think	think	think	
882	:think	think	think	think	think	
883	:think	think	think	think	think	
884	:think	think	think	think	think	
885	:think	think	think	think	think	
886	:think	think	think	think	think	
887	:think	think	think	think	think	
888	:think	think	think	think	think	
889	:think	think	think	think	think	
890	:think	think	think	think	think	
891	:think	think	think	think	think	
892	:think	think	think	think	think	
893	:think	think	think	think	think	
894	:think	think	think	think	think	
895	:think	think	think	think	think	
896	:think	think	think	think	think	
897	:think	think	think	think	think	
898	:think	think	think	think	think	
899	:think	think	think	think	think	
900	:think	think	think	think	think	
901	:think	think	think	think	think	
902	:think	think	think	think	think	
903	:think	think	think	think	think	
904	:think	think	think	think	think	
905	:think	think	think	think	think	
906	:think	think	think	think	think	
907	:think	think	think	think	think	
908	:think	think	think	think	think	
909	:think	think	think	think	think	
910	:think	think	think	think	think	
911	:think	think	think	think	think	
912	:think	think	think	think	think	
913	:think	think	think	think	think	
914	:think	think	think	think	think	
915	:think	think	think	think	think	
916	:think	think	think	think	think	
917	:think	think	think	think	think	
918	:think	think	think	think	think	
919	:think	think	think	think	think	
920	:think	think	think	think	think	
921	:think	think	think	think	think	
922	:think	think	think	think	think	
923	:think	think	think	think	think	
924	:think	think	think	think	think	
925	:think	think	think	think	think	
926	:think	think	think	think	think	
927	:think	think	think	think	think	
928	:think	think	think	think	think	
929	:think	think	think	think	think	
930	:think	think	think	think	think	
931	:think	think	think	think	think	
932	:think	think	think	think	think	
933	:think	think	think	think	think	
934	:think	think	think	think	think	
935	:think	think	think	think	think	
936	:think	think	think	think	think	
937	:think	think	think	think	think	
938	:think	think	think	think	think	
939	:think	think	think	think	think	
940	:think	think	think	think	think	
